%% T1_W T1_D T1_L T1_WLast6 T1_DLast6 T1_LLast6 T1_WHomeLast6 T1_DHomeLast6 T1_LHomeLast6 T1_W1v1_last6 T1_D1v1_last6 T1_L1v1_last6
%% T2_W T2_D T2_L T2_WLast6 T2_DLast6 T2_LLast6 T2_WAwayLast6 T2_DAwayLast6 T2_LAwayLast6
%% Label (1 == Home, X == Draw, 2 == Away)

% Насионал Мадейра - Витория Гимараеш 02.01.19 Pt1
4.0 4.0 6.0 3.0 2.0 1.0 2.0 1.0 3.0 2.0 3.0 1.0     7.0 4.0 3.0 4.0 2.0 0.0 3.0 2.0 1.0     1

% Боависта - Витория Сетубал 02.01.19 Pt1
3.0 4.0 7.0 1.0 3.0 2.0 2.0 1.0 3.0 4.0 2.0 0.0     5.0 2.0 7.0 2.0 0.0 4.0 2.0 2.0 2.0     1

% Спортинг Брага - Маритимо 02.01.19 Pt1
9.0 3.0 2.0 4.0 0.0 2.0 5.0 1.0 0.0 3.0 1.0 2.0     3.0 2.0 9.0 0.0 1.0 5.0 1.0 1.0 4.0     1

% Кардиф Сити - Тотнъм 01.01.19 PR
5.0 3.0 12.0 2.0 1.0 3.0 4.0 0.0 2.0 0.33 1.33 4.33     15.0 0.0 5.0 4.0 1.0 1.0 4.0 1.0 1.0     2

% Борнeмут - Уотфорд 02.01.19 PR
8.0 2.0 10.0 1.0 0.0 5.0 3.0 0.0 3.0 1.0 4.0 1.0     8.0 4.0 8.0 2.0 2.0 2.0 2.0 2.0 2.0     X

% Челси - Саутхямптън 02.01.19 PR
13.0 4.0 3.0 4.0 1.0 1.0 4.0 1.0 1.0 6.0 0.0 0.0     3.0 6.0 11.0 2.0 0.0 4.0 1.0 1.0 4.0     X

% Хъдърсфийлд Таун - Бърнли 02.01.19 PR
2.0 4.0 14.0 0.0 0.0 6.0 1.0 1.0 4.0 0.0 3.0 3.0     4.0 3.0 13.0 2.0 0.0 4.0 0.0 1.0 5.0     2

% Уест Хям - Брайтън 02.01.19 PR
8.0 3.0 9.0 4.0 0.0 2.0 3.0 0.0 3.0 3.0 0.0 3.0     7.0 4.0 9.0 2.0 1.0 3.0 2.0 0.0 4.0     X

% Уулвърхямптън - Кристъл Палас 02.01.19 PR
8.0 5.0 7.0 4.0 1.0 1.0 2.0 0.0 4.0 2.0 1.0 3.0     5.0 4.0 11.0 2.0 1.0 3.0 1.0 1.0 4.0     2

% Нюкясъл - Манчестър Юнайтед 02.01.19 PR
4.0 6.0 10.0 1.0 3.0 2.0 2.0 1.0 3.0 1.0 2.0 3.0     10.0 5.0 5.0 4.0 0.0 2.0 2.0 1.0 3.0     2

% Манчестър Сити - Ливърпул 03.01.19 PR
15.0 2.0 3.0 3.0 1.0 2.0 5.0 0.0 1.0 1.0 2.0 3.0     17.0 3.0 0.0 6.0 0.0 0.0 4.0 0.0 2.0     1

% Портимонензе - Бенфика 02.01.19 Pt1
